iter	Passed	Remaining
226	4039	54559
227	4055	54524
228	4074	54513
229	4095	54537
230	4112	54519
231	4131	54506
232	4149	54497
233	4167	54474
234	4187	54492
235	4210	54538
236	4230	54546
237	4245	54491
238	4261	54455
239	4277	54419
240	4292	54361
241	4307	54309
242	4324	54278
243	4345	54294
244	4360	54245
245	4374	54186
246	4391	54155
247	4408	54128
248	4424	54091
249	4441	54057
250	4457	54024
251	4473	53980
252	4493	53996
253	4511	53975
254	4529	53958
255	4545	53925
256	4563	53906
257	4579	53872
258	4597	53852
259	4612	53810
260	4634	53842
261	4654	53849
262	4670	53803
263	4686	53774
264	4702	53730
265	4719	53702
266	4736	53677
267	4753	53655
268	4775	53689
269	4795	53690
270	4812	53668
271	4829	53636
272	4844	53587
273	4860	53553
274	4876	53516
275	4892	53476
276	4909	53460
277	4931	53480
278	4947	53442
279	4963	53414
280	4979	53378
281	4996	53344
282	5012	53309
283	5029	53285
284	5045	53250
285	5064	53249
286	5088	53294
287	5105	53273
288	5122	53247
289	5142	53253
290	5158	53211
291	5173	53170
292	5192	53161
293	5210	53153
294	5230	53153
295	5249	53152
296	5263	53099
297	5278	53048
298	5295	53029
299	5310	52981
300	5326	52946
301	5342	52913
302	5358	52878
303	5378	52883
304	5397	52877
305	5412	52834
306	5427	52790
307	5444	52765
308	5460	52729
309	5474	52678
310	5488	52630
311	5503	52587
312	5522	52574
313	5544	52599
314	5559	52564
315	5575	52530
316	5591	52494
317	5607	52455
318	5620	52403
319	5636	52367
320	5652	52329
321	5667	52289
322	5687	52299
323	5705	52286
324	5721	52249
325	5738	52231
326	5759	52239
327	5777	52225
328	5793	52192
329	5810	52167
330	5828	52159
331	5852	52195
332	5872	52196
333	5890	52181
334	5906	52149
335	5920	52108
336	5937	52082
337	5953	52044
338	5968	52007
339	5985	51988
340	6002	51964
341	6018	51928
342	6033	51890
343	6048	51852
344	6062	51806
345	6078	51773
346	6092	51726
347	6107	51684
348	6121	51637
349	6135	51591
350	6154	51584
351	6172	51571
352	6186	51526
353	6202	51495
354	6218	51467
355	6234	51431
356	6248	51390
357	6263	51348
358	6279	51321
359	6295	51294
360	6316	51304
361	6334	51292
362	6351	51268
363	6366	51232
364	6383	51205
365	6398	51166
366	6413	51133
367	6428	51096
368	6444	51068
369	6464	51066
370	6481	51048
371	6495	51004
372	6510	50965
373	6525	50926
374	6541	50900
375	6555	50857
376	6570	50823
377	6586	50796
378	6606	50795
379	6623	50777
380	6639	50748
381	6653	50704
382	6668	50668
383	6707	50813
384	6729	50832
385	6757	50890
386	6778	50899
387	6796	50882
388	6812	50853
389	6826	50813
390	6840	50772
391	6857	50749
392	6872	50710
393	6887	50679
394	6904	50653
395	6922	50645
396	6939	50624
397	6954	50588
398	6970	50558
399	6984	50518
400	7002	50499
401	7017	50466
402	7032	50428
403	7047	50399
404	7067	50394
405	7084	50376
406	7100	50347
407	7116	50320
408	7131	50288
409	7147	50256
410	7162	50223
411	7178	50196
412	7195	50177
413	7214	50171
414	7231	50151
415	7249	50133
416	7263	50096
417	7277	50056
418	7292	50021
419	7308	49991
420	7324	49968
421	7339	49930
422	7358	49928
423	7377	49916
424	7392	49887
425	7408	49860
426	7424	49835
427	7441	49813
428	7457	49784
429	7475	49774
430	7494	49768
431	7514	49768
432	7530	49737
433	7544	49700
434	7560	49671
435	7576	49646
436	7592	49617
437	7607	49588
438	7622	49553
439	7636	49518
440	7656	49513
441	7675	49510
442	7691	49484
443	7707	49458
444	7723	49432
445	7739	49405
446	7755	49381
447	7771	49354
448	7788	49334
449	7806	49322
450	7826	49320
451	7842	49292
452	7856	49256
453	7871	49222
454	7886	49191
455	7901	49157
456	7916	49125
457	7931	49094
458	7946	49064
459	7965	49054
460	7983	49043
461	7999	49016
462	8015	48991
463	8031	48966
464	8046	48936
465	8061	48904
466	8077	48877
467	8092	48850
468	8108	48823
469	8128	48821
470	8144	48798
471	8161	48778
472	8194	48856
473	8212	48842
474	8232	48841
475	8251	48832
476	8273	48841
477	8290	48826
478	8307	48805
479	8325	48791
480	8342	48770
481	8357	48742
482	8371	48706
483	8387	48676
484	8403	48655
485	8423	48653
486	8442	48641
487	8457	48611
488	8473	48586
489	8489	48565
490	8505	48540
491	8523	48523
492	8539	48502
493	8558	48495
494	8576	48479
495	8596	48475
496	8612	48451
497	8627	48421
498	8643	48395
499	8660	48379
500	8679	48370
501	8695	48346
502	8714	48338
503	8735	48339
504	8760	48366
505	8779	48356
506	8796	48334
507	8813	48316
508	8829	48295
509	8845	48267
510	8862	48251
511	8878	48224
512	8895	48207
513	8916	48208
514	8934	48191
515	8949	48162
516	8964	48133
517	8980	48110
518	8997	48088
519	9014	48071
520	9031	48052
521	9048	48034
522	9069	48033
523	9085	48012
524	9100	47981
525	9116	47956
526	9132	47933
527	9147	47903
528	9162	47872
529	9178	47847
530	9193	47821
531	9212	47813
532	9232	47809
533	9248	47786
534	9264	47759
535	9280	47736
536	9296	47713
537	9313	47691
538	9328	47664
539	9346	47647
540	9396	47796
541	9418	47803
542	9433	47777
543	9449	47751
544	9464	47721
545	9478	47689
546	9493	47659
547	9510	47637
548	9526	47615
549	9541	47587
550	9556	47556
551	9570	47524
552	9585	47496
553	9601	47469
554	9616	47438
555	9630	47408
556	9645	47378
557	9662	47359
558	9681	47350
559	9696	47323
560	9710	47290
561	9725	47260
562	9739	47229
563	9754	47196
564	9767	47162
565	9781	47129
566	9796	47101
567	9814	47085
568	9833	47075
569	9849	47054
570	9863	47019
571	9876	46984
572	9890	46951
573	9905	46923
574	9921	46897
575	9934	46863
576	9949	46831
577	9965	46808
578	9983	46796
579	10000	46777
580	10016	46755
581	10029	46719
582	10044	46689
583	10058	46656
584	10073	46628
585	10087	46599
586	10102	46569
587	10117	46542
588	10133	46520
589	10150	46501
590	10167	46486
591	10182	46459
592	10198	46436
593	10214	46411
594	10229	46385
595	10243	46354
596	10257	46323
597	10272	46296
598	10286	46265
599	10303	46247
600	10322	46236
601	10337	46209
602	10350	46176
603	10364	46143
604	10379	46116
605	10394	46087
606	10408	46057
607	10423	46030
608	10437	46000
609	10455	45986
610	10471	45965
611	10486	45940
612	10502	45914
613	10518	45893
614	10533	45867
615	10547	45837
616	10561	45806
617	10574	45772
618	10588	45738
619	10603	45714
620	10621	45703
621	10639	45687
622	10654	45661
623	10668	45629
624	10682	45603
625	10697	45575
626	10713	45553
627	10727	45521
628	10741	45494
629	10759	45480
630	10778	45469
631	10792	45440
632	10805	45408
633	10820	45382
634	10834	45350
635	10848	45320
636	10862	45292
637	10876	45262
638	10893	45245
639	10911	45232
640	10928	45214
641	10945	45198
642	10961	45176
643	10975	45147
644	10990	45122
645	11004	45091
646	11019	45064
647	11033	45035
648	11047	45007
649	11062	44980
650	11078	44961
651	11096	44947
652	11109	44915
653	11124	44887
654	11138	44859
655	11153	44833
656	11167	44807
657	11182	44780
658	11196	44750
659	11213	44734
660	11231	44722
661	11246	44697
662	11261	44673
663	11275	44642
664	11289	44613
665	11303	44585
666	11319	44564
667	11333	44535
668	11350	44517
669	11369	44510
670	11384	44485
671	11398	44456
672	11413	44433
673	11428	44407
674	11442	44381
675	11457	44356
676	11473	44334
677	11487	44308
678	11502	44282
679	11519	44265
680	11535	44245
681	11550	44219
682	11564	44192
683	11578	44165
684	11592	44137
685	11607	44111
686	11621	44085
687	11635	44057
688	11649	44029
689	11665	44009
690	11685	44003
691	11701	43983
692	11716	43956
693	11729	43927
694	11743	43900
695	11759	43878
696	11774	43856
697	11788	43826
698	11803	43803
699	11819	43781
700	11837	43771
701	11855	43757
702	11872	43739
703	11886	43713
704	11899	43683
705	11914	43657
706	11928	43630
707	11943	43607
708	11958	43584
709	11979	43581
710	12001	43584
711	12017	43564
712	12034	43547
713	12050	43528
714	12066	43507
715	12082	43485
716	12099	43472
717	12115	43452
718	12151	43500
719	12179	43525
720	12203	43533
721	12218	43509
722	12234	43488
723	12249	43465
724	12265	43443
725	12284	43436
726	12304	43430
727	12322	43417
728	12337	43393
729	12354	43375
730	12370	43356
731	12385	43331
732	12401	43311
733	12418	43295
734	12438	43288
735	12457	43279
736	12472	43256
737	12487	43231
738	12502	43210
739	12517	43184
740	12533	43165
741	12551	43150
742	12566	43128
743	12584	43114
744	12605	43111
745	12623	43098
746	12638	43076
747	12653	43050
748	12668	43027
749	12683	43003
750	12697	42977
751	12711	42950
752	12724	42923
753	12742	42910
754	12761	42897
755	12776	42875
756	12795	42866
757	12817	42864
758	12836	42857
759	12855	42844
760	12875	42838
761	12892	42824
762	12912	42816
763	12928	42797
764	12945	42779
765	12964	42768
766	12978	42743
767	12993	42720
768	13009	42698
769	13026	42683
770	13044	42669
771	13063	42658
772	13080	42641
773	13095	42618
774	13110	42597
775	13126	42575
776	13140	42549
777	13155	42526
778	13169	42502
779	13183	42475
780	13198	42450
781	13217	42440
782	13234	42424
783	13249	42400
784	13266	42385
785	13283	42368
786	13301	42355
787	13320	42343
788	13335	42321
789	13359	42326
790	13380	42322
791	13398	42310
792	13417	42301
793	13435	42284
794	13452	42270
795	13469	42252
796	13484	42231
797	13502	42216
798	13518	42197
799	13536	42184
800	13554	42170
801	13570	42150
802	13587	42134
803	13605	42119
804	13622	42103
805	13638	42082
806	13655	42067
807	13673	42053
808	13696	42054
809	13716	42048
810	13733	42030
811	13748	42008
812	13764	41988
813	13780	41966
814	13796	41946
815	13813	41932
816	13831	41917
817	13850	41907
818	13864	41880
819	13878	41855
820	13893	41831
821	13909	41814
822	13925	41794
823	13941	41773
824	13957	41753
825	13976	41744
826	13993	41727
827	14011	41711
828	14026	41689
829	14042	41669
830	14058	41652
831	14074	41631
832	14090	41611
833	14106	41590
834	14123	41574
835	14141	41560
836	14159	41548
837	14177	41535
838	14196	41522
839	14213	41506
840	14230	41490
841	14247	41473
842	14265	41458
843	14282	41441
844	14300	41429
845	14319	41418
846	14336	41401
847	14350	41377
848	14367	41358
849	14382	41337
850	14398	41317
851	14415	41301
852	14430	41276
853	14447	41262
854	14466	41251
855	14481	41228
856	14497	41207
857	14512	41187
858	14529	41168
859	14546	41152
860	14562	41134
861	14579	41117
862	14595	41096
863	14614	41085
864	14633	41075
865	14648	41053
866	14665	41037
867	14681	41016
868	14696	40995
869	14713	40979
870	14730	40960
871	14745	40939
872	14763	40926
873	14799	40961
874	14825	40968
875	14847	40965
876	14860	40939
877	14875	40916
878	14892	40899
879	14912	40891
880	14929	40872
881	14944	40852
882	14960	40833
883	14976	40813
884	14992	40793
885	15010	40779
886	15025	40757
887	15042	40740
888	15063	40734
889	15083	40725
890	15096	40697
891	15111	40674
892	15126	40654
893	15141	40630
894	15156	40609
895	15170	40584
896	15184	40560
897	15199	40536
898	15216	40519
899	15236	40510
900	15252	40492
901	15270	40478
902	15286	40458
903	15302	40439
904	15317	40418
905	15333	40397
906	15348	40376
907	15367	40365
908	15386	40352
909	15400	40330
910	15418	40315
911	15435	40298
912	15451	40280
913	15470	40266
914	15486	40248
915	15502	40227
916	15516	40204
917	15535	40192
918	15557	40188
919	15573	40170
920	15588	40147
921	15604	40128
922	15619	40107
923	15636	40089
924	15655	40078
925	15671	40057
926	15686	40037
927	15711	40039
928	15730	40028
929	15743	40002
930	15757	39978
931	15773	39958
932	15790	39941
933	15805	39920
934	15822	39902
935	15841	39890
936	15858	39875
937	15877	39862
938	15893	39842
939	15909	39825
940	15925	39806
941	15942	39788
942	15959	39771
943	15975	39751
944	15989	39728
945	16008	39715
946	16027	39705
947	16043	39684
948	16060	39668
949	16076	39648
950	16089	39623
951	16103	39600
952	16118	39577
953	16131	39552
954	16146	39529
955	16163	39513
956	16181	39499
957	16197	39479
958	16212	39456
959	16226	39434
960	16241	39412
961	16255	39387
962	16270	39365
963	16284	39342
964	16300	39323
965	16319	39312
966	16338	39299
967	16353	39279
968	16368	39256
969	16382	39233
970	16396	39208
971	16409	39183
972	16423	39158
973	16438	39137
974	16452	39114
975	16469	39097
976	16488	39085
977	16507	39074
978	16522	39053
979	16537	39032
980	16552	39010
981	16567	38988
982	16581	38965
983	16596	38943
984	16611	38923
985	16631	38913
986	16651	38904
987	16666	38882
988	16680	38860
989	16694	38835
990	16708	38813
991	16723	38791
992	16739	38771
993	16753	38747
994	16767	38724
995	16783	38707
996	16800	38691
997	16816	38671
998	16830	38648
999	16845	38626
1000	16859	38602
1001	16872	38578
1002	16886	38555
1003	16901	38532
1004	16916	38513
1005	16935	38499
1006	16953	38485
1007	16972	38475
1008	16988	38454
1009	17004	38436
1010	17017	38412
1011	17032	38390
1012	17048	38370
1013	17062	38348
1014	17077	38328
1015	17094	38311
1016	17112	38297
1017	17127	38275
1018	17145	38261
1019	17161	38242
1020	17177	38224
1021	17191	38201
1022	17204	38176
1023	17218	38153
1024	17233	38133
1025	17251	38117
1026	17269	38103
1027	17287	38089
1028	17319	38106
1029	17340	38099
1030	17363	38094
1031	17377	38071
1032	17398	38063
1033	17416	38050
1034	17432	38032
1035	17447	38010
1036	17461	37988
1037	17476	37966
1038	17490	37944
1039	17504	37921
1040	17520	37901
1041	17539	37890
1042	17556	37872
1043	17571	37852
1044	17585	37829
1045	17600	37810
1046	17615	37789
1047	17629	37764
1048	17643	37743
1049	17657	37720
1050	17671	37697
1051	17686	37676
1052	17705	37665
1053	17721	37645
1054	17736	37625
1055	17751	37604
1056	17766	37583
1057	17780	37561
1058	17796	37541
1059	17810	37519
1060	17824	37497
1061	17840	37478
1062	17858	37463
1063	17873	37443
1064	17887	37421
1065	17902	37399
1066	17916	37378
1067	17931	37356
1068	17945	37335
1069	17960	37313
1070	17974	37292
1071	17990	37273
1072	18009	37261
1073	18026	37244
1074	18041	37225
1075	18056	37204
1076	18070	37181
1077	18084	37159
1078	18099	37137
1079	18115	37119
1080	18129	37098
1081	18144	37078
1082	18162	37063
1083	18180	37049
1084	18195	37028
1085	18209	37006
1086	18225	36986
1087	18239	36965
1088	18256	36948
1089	18270	36926
1090	18284	36903
1091	18299	36884
1092	18317	36869
1093	18335	36854
1094	18351	36836
1095	18365	36814
1096	18380	36795
1097	18395	36775
1098	18410	36754
1099	18425	36732
1100	18438	36709
1101	18456	36694
1102	18474	36680
1103	18487	36657
1104	18503	36639
1105	18518	36618
1106	18532	36596
1107	18546	36574
1108	18561	36553
1109	18575	36531
1110	18594	36519
1111	18611	36503
1112	18627	36485
1113	18642	36465
1114	18657	36444
1115	18673	36425
1116	18686	36403
1117	18702	36384
1118	18716	36363
1119	18734	36347
1120	18752	36333
1121	18767	36314
1122	18782	36294
1123	18799	36277
1124	18815	36258
1125	18829	36237
1126	18844	36216
1127	18858	36196
1128	18875	36179
1129	18896	36170
1130	18914	36155
1131	18929	36136
1132	18945	36118
1133	18959	36097
1134	18974	36077
1135	18991	36060
1136	19006	36039
1137	19025	36028
1138	19043	36013
1139	19058	35993
1140	19070	35969
1141	19087	35952
1142	19103	35934
1143	19117	35912
1144	19132	35891
1145	19147	35873
1146	19165	35857
1147	19184	35845
1148	19201	35830
1149	19215	35806
1150	19232	35790
1151	19248	35773
1152	19262	35751
1153	19277	35732
1154	19292	35711
1155	19308	35694
1156	19326	35678
1157	19344	35665
1158	19363	35652
1159	19378	35633
1160	19395	35616
1161	19410	35596
1162	19424	35575
1163	19438	35553
1164	19453	35533
1165	19472	35522
1166	19490	35507
1167	19506	35489
1168	19520	35467
1169	19535	35447
1170	19549	35425
1171	19567	35412
1172	19582	35391
1173	19598	35373
1174	19616	35360
1175	19641	35357
1176	19673	35368
1177	19691	35355
1178	19710	35341
1179	19723	35318
1180	19738	35298
1181	19753	35279
1182	19770	35262
1183	19789	35249
1184	19804	35229
1185	19818	35208
1186	19832	35186
1187	19846	35165
1188	19860	35143
1189	19874	35122
1190	19888	35101
1191	19902	35079
1192	19916	35058
1193	19934	35043
1194	19950	35025
1195	19966	35007
1196	19980	34987
1197	19996	34968
1198	20010	34948
1199	20026	34928
1200	20041	34909
1201	20056	34890
1202	20074	34876
1203	20092	34860
1204	20107	34841
1205	20122	34822
1206	20136	34801
1207	20151	34780
1208	20165	34760
1209	20181	34742
1210	20195	34721
1211	20209	34699
1212	20230	34689
1213	20247	34673
1214	20265	34660
1215	20280	34640
1216	20294	34619
1217	20308	34598
1218	20322	34577
1219	20337	34556
1220	20351	34536
1221	20366	34516
1222	20383	34499
1223	20400	34484
1224	20416	34466
1225	20432	34447
1226	20447	34429
1227	20462	34409
1228	20478	34391
1229	20493	34372
1230	20508	34352
1231	20525	34336
1232	20542	34321
1233	20557	34301
1234	20571	34280
1235	20586	34260
1236	20600	34240
1237	20616	34221
1238	20630	34201
1239	20645	34180
1240	20661	34163
1241	20678	34147
1242	20697	34134
1243	20714	34119
1244	20730	34100
1245	20744	34080
1246	20758	34059
1247	20773	34040
1248	20788	34020
1249	20802	34000
1250	20818	33981
1251	20835	33965
1252	20852	33949
1253	20867	33931
1254	20882	33910
1255	20897	33892
1256	20911	33871
1257	20926	33851
1258	20939	33829
1259	20954	33809
1260	20975	33799
1261	20996	33790
1262	21014	33776
1263	21031	33759
1264	21045	33738
1265	21060	33720
1266	21076	33702
1267	21091	33682
1268	21108	33666
1269	21129	33656
1270	21144	33637
1271	21159	33618
1272	21172	33597
1273	21187	33576
1274	21202	33557
1275	21217	33538
1276	21232	33519
1277	21248	33502
1278	21265	33486
1279	21284	33473
1280	21299	33453
1281	21312	33432
1282	21327	33411
1283	21341	33391
1284	21356	33371
1285	21370	33352
1286	21385	33333
1287	21401	33314
1288	21417	33297
1289	21437	33286
1290	21453	33269
1291	21468	33249
1292	21483	33231
1293	21498	33210
1294	21512	33190
1295	21528	33173
1296	21543	33154
1297	21558	33135
1298	21575	33118
1299	21593	33104
1300	21608	33085
1301	21624	33067
1302	21637	33046
1303	21652	33026
1304	21667	33007
1305	21681	32987
1306	21695	32967
1307	21710	32947
1308	21727	32931
1309	21746	32919
1310	21762	32901
1311	21776	32880
1312	21791	32861
1313	21806	32842
1314	21821	32823
1315	21834	32802
1316	21849	32782
1317	21864	32762
1318	21881	32746
1319	21897	32730
1320	21932	32740
1321	21952	32729
1322	21973	32718
1323	21987	32699
1324	22002	32680
1325	22018	32662
1326	22034	32644
1327	22051	32629
1328	22071	32617
1329	22087	32599
1330	22100	32578
1331	22114	32557
1332	22129	32538
1333	22144	32519
1334	22158	32498
1335	22172	32478
1336	22187	32460
1337	22207	32448
1338	22225	32432
1339	22239	32413
1340	22254	32394
1341	22268	32373
1342	22283	32354
1343	22297	32335
1344	22312	32316
1345	22326	32295
1346	22342	32277
1347	22360	32263
1348	22379	32250
1349	22394	32231
1350	22409	32212
1351	22423	32192
1352	22438	32173
1353	22454	32156
1354	22470	32138
1355	22484	32118
1356	22500	32100
1357	22518	32085
1358	22536	32071
1359	22550	32051
1360	22565	32032
1361	22580	32013
1362	22595	31994
1363	22610	31976
1364	22626	31958
1365	22640	31939
1366	22655	31919
1367	22672	31904
1368	22691	31890
1369	22707	31873
1370	22721	31853
1371	22736	31833
1372	22750	31814
1373	22765	31795
1374	22778	31774
1375	22792	31753
1376	22808	31735
1377	22826	31722
1378	22844	31707
1379	22860	31689
1380	22874	31670
1381	22889	31650
1382	22903	31631
1383	22918	31611
1384	22932	31592
1385	22947	31573
1386	22960	31552
1387	22978	31537
1388	22999	31527
1389	23014	31508
1390	23027	31487
1391	23042	31468
1392	23058	31451
1393	23073	31432
1394	23091	31417
1395	23107	31400
1396	23124	31384
1397	23141	31368
1398	23156	31350
1399	23171	31330
1400	23184	31309
1401	23199	31291
1402	23215	31273
1403	23234	31260
1404	23249	31241
1405	23263	31222
1406	23280	31205
1407	23303	31197
1408	23321	31183
1409	23338	31167
1410	23356	31153
1411	23372	31135
1412	23389	31120
1413	23408	31105
1414	23429	31095
1415	23453	31088
1416	23472	31076
1417	23489	31059
1418	23504	31041
1419	23523	31028
1420	23540	31011
1421	23560	31000
1422	23581	30988
1423	23600	30976
1424	23617	30959
1425	23632	30940
1426	23649	30924
1427	23665	30907
1428	23682	30891
1429	23698	30874
1430	23713	30855
1431	23730	30839
1432	23754	30832
1433	23772	30817
1434	23788	30801
1435	23805	30784
1436	23822	30768
1437	23838	30750
1438	23853	30733
1439	23868	30714
1440	23884	30696
1441	23907	30689
1442	23924	30672
1443	23941	30656
1444	23958	30640
1445	23973	30622
1446	23991	30606
1447	24009	30592
1448	24027	30576
1449	24046	30563
1450	24067	30552
1451	24089	30543
1452	24111	30533
1453	24129	30518
1454	24145	30501
1455	24164	30487
1456	24187	30479
1457	24211	30471
1458	24252	30486
1459	24277	30479
1460	24296	30466
1461	24311	30448
1462	24328	30431
1463	24352	30424
1464	24370	30409
1465	24386	30391
1466	24401	30372
1467	24416	30353
1468	24430	30334
1469	24445	30315
1470	24462	30299
1471	24479	30283
1472	24497	30268
1473	24513	30251
1474	24528	30232
1475	24542	30212
1476	24559	30196
1477	24575	30179
1478	24590	30160
1479	24604	30140
1480	24618	30120
1481	24634	30103
1482	24653	30090
1483	24670	30073
1484	24686	30055
1485	24702	30038
1486	24718	30020
1487	24732	30001
1488	24747	29983
1489	24769	29972
1490	24787	29957
1491	24809	29947
1492	24827	29932
1493	24843	29915
1494	24858	29896
1495	24874	29879
1496	24890	29862
1497	24906	29845
1498	24921	29826
1499	24936	29807
1500	24954	29792
1501	24974	29779
1502	24989	29761
1503	25005	29744
1504	25019	29724
1505	25034	29705
1506	25049	29686
1507	25064	29668
1508	25078	29649
1509	25096	29634
1510	25113	29617
1511	25128	29599
1512	25143	29580
1513	25157	29561
1514	25172	29542
1515	25187	29523
1516	25202	29504
1517	25216	29486
1518	25235	29471
1519	25254	29458
1520	25269	29439
1521	25283	29420
1522	25297	29400
1523	25311	29380
1524	25326	29361
1525	25340	29342
1526	25355	29323
1527	25370	29305
1528	25393	29296
1529	25409	29278
1530	25424	29260
1531	25438	29240
1532	25453	29222
1533	25466	29202
1534	25481	29183
1535	25494	29162
1536	25509	29143
1537	25524	29126
1538	25556	29126
1539	25571	29107
1540	25585	29089
1541	25601	29070
1542	25615	29051
1543	25629	29032
1544	25644	29014
1545	25659	28995
1546	25675	28978
1547	25692	28961
1548	25710	28946
1549	25726	28929
1550	25740	28910
1551	25754	28891
1552	25771	28874
1553	25785	28855
1554	25802	28839
1555	25818	28821
1556	25832	28802
1557	25851	28788
1558	25869	28773
1559	25884	28754
1560	25898	28735
1561	25914	28718
1562	25928	28699
1563	25943	28680
1564	25958	28662
1565	25975	28645
1566	25992	28630
1567	26011	28616
1568	26026	28597
1569	26040	28578
1570	26057	28562
1571	26074	28545
1572	26088	28526
1573	26103	28508
1574	26117	28488
1575	26132	28470
1576	26154	28459
1577	26173	28446
1578	26188	28427
1579	26204	28409
1580	26218	28391
1581	26233	28372
1582	26246	28352
1583	26261	28334
1584	26276	28315
1585	26293	28299
1586	26322	28296
1587	26354	28295
1588	26376	28285
1589	26391	28266
1590	26406	28248
1591	26420	28229
1592	26434	28209
1593	26452	28194
1594	26469	28179
1595	26484	28160
1596	26500	28142
1597	26513	28123
1598	26529	28105
1599	26544	28087
1600	26566	28076
1601	26584	28061
1602	26599	28043
1603	26616	28027
1604	26635	28012
1605	26651	27995
1606	26666	27977
1607	26680	27957
1608	26694	27938
1609	26709	27921
1610	26724	27902
1611	26742	27887
1612	26761	27873
1613	26777	27855
1614	26793	27838
1615	26811	27823
1616	26827	27805
1617	26841	27787
1618	26856	27768
1619	26873	27752
1620	26888	27734
1621	26907	27720
1622	26924	27703
1623	26939	27685
1624	26954	27667
1625	26969	27649
1626	26984	27631
1627	26999	27612
1628	27013	27594
1629	27028	27575
1630	27044	27558
1631	27061	27542
1632	27079	27527
1633	27093	27508
1634	27108	27489
1635	27123	27471
1636	27138	27453
1637	27154	27435
1638	27168	27417
1639	27183	27398
1640	27200	27383
1641	27221	27370
1642	27235	27351
1643	27251	27333
1644	27265	27315
1645	27280	27297
1646	27295	27278
1647	27310	27260
1648	27325	27242
1649	27340	27224
1650	27357	27208
1651	27377	27194
1652	27392	27177
1653	27408	27159
1654	27422	27141
1655	27439	27124
1656	27456	27108
1657	27473	27092
1658	27487	27073
1659	27501	27054
1660	27520	27039
1661	27540	27026
1662	27555	27009
1663	27572	26992
1664	27589	26976
1665	27605	26959
1666	27620	26941
1667	27635	26923
1668	27650	26904
1669	27666	26887
