iter	RMSE
0	0.1369491354
1	0.1321898661
2	0.1276413349
3	0.1232829312
4	0.1191239966
5	0.115030236
6	0.1111548287
7	0.1075158559
8	0.1039699206
9	0.1005708504
10	0.09736012949
11	0.09426640838
12	0.09127853822
13	0.08844308892
14	0.08575444056
15	0.08322316278
16	0.08074832774
17	0.07838002677
18	0.07616495422
19	0.07399731882
20	0.07194211185
21	0.07001716145
22	0.06813996869
23	0.06635319854
24	0.06466667704
25	0.06308648199
26	0.06154172089
27	0.06006794635
28	0.05868671915
29	0.05735133219
30	0.05606886657
31	0.05489855825
32	0.0537822115
33	0.05270246491
34	0.05168290597
35	0.05073187862
36	0.04982700198
37	0.04897043173
38	0.04814718086
39	0.04738238665
40	0.04662125377
41	0.0459287513
42	0.04526545803
43	0.04464157275
44	0.04404035784
45	0.04348793238
46	0.04294676917
47	0.04246605709
48	0.04199143097
49	0.04154602582
50	0.04112572648
51	0.0407338561
52	0.04038182587
53	0.0399924219
54	0.03965929203
55	0.03934622162
56	0.0390665019
57	0.03876415701
58	0.03849838213
59	0.03823383724
60	0.03798343667
61	0.0377334543
62	0.03752291045
63	0.03733227309
64	0.03715035677
65	0.03695954431
66	0.03678956475
67	0.03661169175
68	0.03645614515
69	0.03633049767
70	0.03620609407
71	0.03608632868
72	0.03594958994
73	0.03583562967
74	0.03571881863
75	0.03560997906
76	0.035492856
77	0.03538122912
78	0.03527674608
79	0.0351838133
80	0.03509915725
81	0.03503578121
82	0.03494693655
83	0.03486433642
84	0.0347889766
85	0.03471035818
86	0.03463918965
87	0.03457540202
88	0.03449962906
89	0.03442893461
90	0.03437737561
91	0.03430645357
92	0.03424259962
93	0.03419630579
94	0.0341453792
95	0.03409793549
96	0.03404171751
97	0.03400237344
98	0.03394575259
99	0.03389756095
100	0.03385468116
101	0.0338131513
102	0.03378364019
103	0.03374936919
104	0.03371562362
105	0.03367544204
106	0.03364789308
107	0.03361601453
108	0.0335869057
109	0.0335411488
110	0.03351070757
111	0.03347841765
112	0.03344243892
113	0.03341064922
114	0.03337593461
115	0.03333540243
116	0.03330267733
117	0.03326720226
118	0.03324800257
119	0.03322175539
120	0.03319423807
121	0.03316393012
122	0.03313904208
123	0.03311525563
124	0.0330977582
125	0.03307491796
126	0.0330560217
127	0.03303053136
128	0.03300530714
129	0.03298352713
130	0.03296637862
131	0.03293375985
132	0.03291442823
133	0.03288654752
134	0.03286596327
135	0.03284023528
136	0.03281319472
137	0.03278759275
138	0.03276413934
139	0.03274941478
140	0.03272514709
141	0.03270477819
142	0.03269089074
143	0.03267335232
144	0.03265992569
145	0.03264597857
146	0.03262557432
147	0.03261055488
148	0.03259055793
149	0.03257535175
150	0.0325476118
151	0.03253222446
152	0.03251168556
153	0.03249817451
154	0.03248812855
155	0.03247111525
156	0.03245416982
157	0.03243992043
158	0.03242829812
159	0.03241966615
160	0.0324028255
161	0.0323832031
162	0.03237050371
163	0.03235052546
164	0.03233858889
165	0.03232307384
166	0.03231303787
167	0.03229969982
168	0.03228791027
169	0.03228061102
170	0.03227189941
171	0.03226558895
172	0.03225168716
173	0.03224148871
174	0.03222887464
175	0.03221867681
176	0.03220682185
177	0.03219620555
178	0.03217497831
179	0.03215447101
180	0.03214102105
181	0.03212728189
182	0.03211438718
183	0.03210249882
184	0.03208805198
185	0.03207889212
